Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512374,1599.848,1,OK,0.0979343,-0.0793520,-0.9920243,0.0000000,159.911,1.731,-137.625,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512382,1599.873,1,OK,0.0979253,-0.0797992,-0.9919893,0.0000000,159.903,1.740,-137.617,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512390,1599.898,1,OK,0.0977749,-0.0810424,-0.9919033,0.0000000,159.944,1.778,-137.613,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512398,1599.923,1,OK,0.0977604,-0.0820927,-0.9918184,0.0000000,159.946,1.795,-137.612,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512406,1599.948,1,OK,0.0977485,-0.0823112,-0.9918014,0.0000000,159.943,1.793,-137.601,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512414,1599.973,1,OK,0.0978926,-0.0817862,-0.9918307,0.0000000,159.909,1.777,-137.611,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512422,1599.998,1,OK,0.0978737,-0.0833128,-0.9917055,0.0000000,159.928,1.828,-137.606,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512430,1600.023,1,OK,0.0977171,-0.0844129,-0.9916279,0.0000000,159.960,1.865,-137.584,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512438,1600.048,1,OK,0.0976248,-0.0850800,-0.9915799,0.0000000,159.989,1.901,-137.578,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512446,1600.073,1,OK,0.0976915,-0.0846730,-0.9916082,0.0000000,159.974,1.890,-137.590,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512454,1600.098,1,OK,0.0975517,-0.0857775,-0.9915271,0.0000000,160.016,1.924,-137.590,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512462,1600.123,1,OK,0.0974880,-0.0873091,-0.9913996,0.0000000,160.048,1.968,-137.589,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512470,1600.148,1,OK,0.0974331,-0.0877267,-0.9913682,0.0000000,160.052,1.979,-137.574,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512478,1600.173,1,OK,0.0975408,-0.0874135,-0.9913852,0.0000000,160.034,1.974,-137.586,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512486,1600.198,1,OK,0.0976820,-0.0872749,-0.9913835,0.0000000,160.009,1.962,-137.609,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512494,1600.223,1,OK,0.0976608,-0.0851140,-0.9915735,0.0000000,159.989,1.909,-137.591,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512502,1600.248,1,OK,0.0976468,-0.0853667,-0.9915531,0.0000000,159.988,1.906,-137.599,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512510,1600.273,1,OK,0.0977264,-0.0854015,-0.9915423,0.0000000,159.967,1.890,-137.606,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512518,1600.298,1,OK,0.0978742,-0.0826877,-0.9917577,0.0000000,159.931,1.809,-137.631,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512526,1600.323,1,OK,0.0978454,-0.0830731,-0.9917284,0.0000000,159.938,1.824,-137.625,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512534,1600.348,1,OK,0.0979302,-0.0820232,-0.9918074,0.0000000,159.900,1.789,-137.619,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512542,1600.373,1,OK,0.0977671,-0.0823808,-0.9917938,0.0000000,159.928,1.804,-137.605,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512550,1600.398,1,OK,0.0978856,-0.0803875,-0.9919457,0.0000000,159.910,1.759,-137.627,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512558,1600.423,1,OK,0.0978847,-0.0805806,-0.9919301,0.0000000,159.902,1.772,-137.614,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512566,1600.448,1,OK,0.0978302,-0.0805653,-0.9919367,0.0000000,159.924,1.787,-137.618,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512574,1600.473,1,OK,0.0978544,-0.0809997,-0.9918990,0.0000000,159.926,1.794,-137.632,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512582,1600.498,1,OK,0.0978383,-0.0811592,-0.9918875,0.0000000,159.929,1.810,-137.627,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512590,1600.523,1,OK,0.0978233,-0.0825752,-0.9917721,0.0000000,159.937,1.849,-137.621,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512598,1600.548,1,OK,0.0979164,-0.0804317,-0.9919391,0.0000000,159.911,1.805,-137.633,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512606,1600.573,1,OK,0.0978032,-0.0815752,-0.9918569,0.0000000,159.933,1.832,-137.626,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512614,1600.598,1,OK,0.0976898,-0.0827185,-0.9917733,0.0000000,159.956,1.860,-137.618,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512622,1600.623,1,OK,0.0979810,-0.0817337,-0.9918263,0.0000000,159.897,1.832,-137.638,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512630,1600.648,1,OK,0.0980841,-0.0814255,-0.9918414,0.0000000,159.861,1.814,-137.644,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512638,1600.673,1,OK,0.0981933,-0.0791317,-0.9920163,0.0000000,159.838,1.765,-137.664,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512646,1600.698,1,OK,0.0981418,-0.0793032,-0.9920077,0.0000000,159.846,1.771,-137.655,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512654,1600.723,1,OK,0.0981037,-0.0798013,-0.9919715,0.0000000,159.862,1.796,-137.655,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512662,1600.748,1,OK,0.0981002,-0.0803588,-0.9919268,0.0000000,159.862,1.806,-137.656,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512670,1600.773,1,OK,0.0980192,-0.0796767,-0.9919899,0.0000000,159.871,1.798,-137.655,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512678,1600.798,1,OK,0.0980976,-0.0809405,-0.9918798,0.0000000,159.854,1.826,-137.654,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512686,1600.823,1,OK,0.0981204,-0.0805196,-0.9919118,0.0000000,159.854,1.828,-137.663,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512694,1600.848,1,OK,0.0979393,-0.0794995,-0.9920120,0.0000000,159.888,1.818,-137.649,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512702,1600.872,1,OK,0.0978626,-0.0802767,-0.9919569,0.0000000,159.903,1.849,-137.645,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512710,1600.897,1,OK,0.0977889,-0.0797253,-0.9920087,0.0000000,159.919,1.853,-137.642,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512718,1600.922,1,OK,0.0976587,-0.0810882,-0.9919110,0.0000000,159.950,1.892,-137.637,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512726,1600.947,1,OK,0.0977333,-0.0817184,-0.9918520,0.0000000,159.924,1.908,-137.624,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512734,1600.972,1,OK,0.0977627,-0.0812586,-0.9918868,0.0000000,159.916,1.899,-137.628,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512742,1600.997,1,OK,0.0977921,-0.0807989,-0.9919215,0.0000000,159.908,1.890,-137.633,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512750,1601.022,1,OK,0.0976808,-0.0819325,-0.9918395,0.0000000,159.939,1.949,-137.617,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512758,1601.047,1,OK,0.0976543,-0.0816533,-0.9918651,0.0000000,159.949,1.957,-137.621,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512766,1601.072,1,OK,0.0976983,-0.0820867,-0.9918250,0.0000000,159.944,1.978,-137.627,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512774,1601.097,1,OK,0.0978614,-0.0820023,-0.9918159,0.0000000,159.911,1.983,-137.642,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512782,1601.122,1,OK,0.0979287,-0.0816910,-0.9918349,0.0000000,159.891,1.987,-137.636,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512790,1601.147,1,OK,0.0979839,-0.0806646,-0.9919135,0.0000000,159.890,1.969,-137.657,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512798,1601.172,1,OK,0.0980428,-0.0798338,-0.9919749,0.0000000,159.871,1.949,-137.665,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512806,1601.197,1,OK,0.0979144,-0.0799671,-0.9919768,0.0000000,159.896,1.970,-137.659,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512814,1601.222,1,OK,0.0979646,-0.0792879,-0.9920264,0.0000000,159.879,1.963,-137.670,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512822,1601.247,1,OK,0.0981881,-0.0787468,-0.9920474,0.0000000,159.830,1.946,-137.686,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512830,1601.272,1,OK,0.0981028,-0.0780000,-0.9921148,0.0000000,159.836,1.936,-137.677,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512838,1601.297,1,OK,0.0979746,-0.0768643,-0.9922161,0.0000000,159.849,1.919,-137.665,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512846,1601.322,1,OK,0.0979949,-0.0763849,-0.9922512,0.0000000,159.834,1.911,-137.655,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512854,1601.347,1,OK,0.0980241,-0.0750051,-0.9923535,0.0000000,159.830,1.888,-137.666,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512862,1601.372,1,OK,0.0979877,-0.0735313,-0.9924674,0.0000000,159.835,1.851,-137.674,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512870,1601.397,1,OK,0.0979377,-0.0751820,-0.9923487,0.0000000,159.838,1.896,-137.658,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512878,1601.422,1,OK,0.0978616,-0.0753447,-0.9923438,0.0000000,159.850,1.916,-137.643,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512886,1601.447,1,OK,0.0977042,-0.0762957,-0.9922867,0.0000000,159.888,1.960,-137.625,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512894,1601.472,1,OK,0.0975465,-0.0772461,-0.9922287,0.0000000,159.926,2.005,-137.608,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512902,1601.497,1,OK,0.0974731,-0.0770750,-0.9922492,0.0000000,159.962,2.028,-137.622,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512910,1601.522,1,OK,0.0976942,-0.0758074,-0.9923251,0.0000000,159.919,2.002,-137.642,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512918,1601.547,1,OK,0.0978614,-0.0760769,-0.9922880,0.0000000,159.893,2.014,-137.658,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512926,1601.572,1,OK,0.0977703,-0.0761934,-0.9922880,0.0000000,159.926,2.034,-137.663,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512934,1601.597,1,OK,0.0976555,-0.0776353,-0.9921876,0.0000000,159.949,2.074,-137.648,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512942,1601.622,1,OK,0.0976877,-0.0786103,-0.9921076,0.0000000,159.935,2.105,-137.635,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512950,1601.647,1,OK,0.0976295,-0.0801716,-0.9919884,0.0000000,159.959,2.155,-137.629,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,512958,1601.672,1,OK,0.0976923,-0.0787049,-0.9920997,0.0000000,159.944,2.123,-137.638,0.0000000,0
